,公司名称,公司规模,城市,学历要求,工作经验,职位名称,职位描述,职位薪资
1544,棒谷,1000-9999人,广州,大专,应届生,数据分析专员,1.负责日常销售员的数据监控和汇总，包括销售额，毛利润，毛利润率，转化率，优惠券，活动促销，库存等指标，并整理成报表，及时发现异常并提出； 2.运用OA系统，负责产品销售分析；建立数据分析体系，为运营和销售员的工作决策提供有质量的数据支持； 3.负责月度、季度、年度分析（其中包括行业分析，竞品分析 ），根据分析结果给出建议； 4.通过后台数据参谋快速精准的发现问题，并通过深入分析汇表并反馈信息； 5.完成上级交办其岗位要求：1、大专以上学历，有电商运营经验优先，可以接受应届毕业生； 2、逻辑能力强、有极强的数据敏感度与和数据分析方案撰写能力； 3、熟练数理统计、数据分析、数据挖掘的方法； 4、精通EXCEL各种函数，或者其他分析工具；,4k-6k
1545,高济医疗,500-999人,广州,本科,5-10年,资深数据分析师,岗位职责:1、对业务部门进行数据需求支持，挖掘分析主题，开展数据分析工作，基于数据分析成果，为管理层和业务部门提供商业策略分析和业务优化建议，持续改进运营效果；2、优化和完善所属方向的数据分析体系，包括KPI指标体系、报表体系、专题分析体系；3、作为项目经理，负责项目的方案制定、项目推动与运营，并且指导其他同事在指定的时间里高质量的完成项目4、提升团队的整体运营水平。 任职要求：1、有较强的团队沟通协调能力，能独立完成专题分析项目；2、逻辑思维严密，有很好的分析能力和报告展示能力，有很好商业嗅觉；3、熟练使用SQL/SAS，熟悉至少一种数据库软件，如：oracle、mysql、sql server等，熟悉hadoop者优先；4、理工科、市场营销、经济、心理学等相关专业本科以上学历。5、5年以上数据分析工作经验，零售、互联网背景优先，有商品品类管理、商品或品牌分析或市场投放分析经验者优先,18k-35k
1546,卓讯信息科技,100-499人,广州,大专,经验不限,数据分析师,1、主要负责电信行业市场信息及动态资料收集、定期与不定期的数据报表制作，汇总，分析，并撰写分析报告。2、协助领导完成公司管理咨询项目的其他工作任职要求：1.    优秀的逻辑思维能力，数据处理分析能力及创新能力；2.    爱学习，有上进心；3.    良好的文字功底；4.    熟悉PPT、word、Excel等office软件应用（基本要求）5.    较强的沟通、协调能力及团队协作精神6.    优秀的执行力和的服务意识，耐心、细致岗位资格要求：1、学历大专以上（欢迎应届生）2、专业不限（统计学、计算机等专业优先）3、有咨询行业、电信运营商、通信产业链（如手机厂商、国代商、零售渠道等）工作经验者优先,4k-5k
1547,阿里巴巴集团,10000人以上,广州,本科,5-10年,高级数据分析师,1.计算机、统计、数学、信息技术等专业本科及以上学历，有互联网相关数据分析工作经历；2.具备大数据的处理能力，掌握hive、SQL等相关数据提取工具，熟练操作excel、SAS/SPSS、PPT等工具；3.良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验；4.熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题，具备良好的商业敏感度和创新意识，快速识别商业问题和机会；5.具备良好的抗压能力、沟通能力和团队精神，有独立开展分析研究项目经验。,20k-30k
1548,数说故事,100-499人,广州,本科,3-5年,数据分析师,岗位职责：1、与客户沟通，理解、细化客户的数据分析需求，了解客户对数据需求背后的目的，更好地为客户提供解决方案。需求范围包括：企业网络舆情、品牌网络口碑、消费者洞察、社会化运营数据、产品体验和创新等；2、根据商业背景和相关行业背景，搭建清晰的研究框架，设计研究方案，将客户需求落地；3、基于多维大数据以及不同数据特点，使用公司自有大数据分析工具，洞悉数据背后的信息，满足客户的分析需求；结合自身和团队的研究经验，基于数据洞察结果提出合理的解决方案和意见，提升数据价值；4、承担分析报告撰写的主笔工作。任职资格：1、本科以上学历；2、有5年以上的咨询公司、广告/公关公司或大型企业市场研究或用户研究部门工作背景；3、对制造、快消、互联网、零售等行业及商业模式有一定的了解，对数据有较高的敏锐性；4、具备数据操作能力，熟练使用excel，熟练使用SPSS等至少一种统计软件；5、具备独立完成PPT制作，报告撰写能力；6、良好的英文写作能力，能撰写英文分析报告；7、良好的沟通与表达能力，能与客户对接需求。我们能够提供：在市场上具有竞争力的薪酬及年终奖计划；五险一金（养老保险、生育保险、医疗保险、工伤保险、失业保险、住房公积金）年度体检；弹性工作，带薪年假，周末双休完善的涨薪升职体系，每半年度都会有规范的review；数说故事分析师学院，行业大咖分享，一对一设计成长计划午餐补助及加班晚餐补助，团建及免费的乒乓球羽毛球篮球活动、每月生日会及各种节日活动、无限量咖啡、免费水果下午茶,10k-20k
1549,亿利莱科技,0-20人,广州,大专,1年以内,数据分析师,我们是一家专业区块链技术研发公司目前开发了一款免费手机制作简历APP：简历链，已经在各大手机APP商店均可下载使用，内有多款免费简历模版。岗位职责：1.支撑公司市场部手机制作简历App的问题分析，及时帮助产品发现和定位关键数据的异常原因2.从数据视角挖掘产品的可优化点，输送可行的解决方案3.提炼业务核心的问题点，评估，抽象，建立模型帮助业务优化产品和用户的关键指标，提高用户价值4.不定期与产品团队分享业务重点数据，展示自己的分析成果，并推动产品侧落地执行5.负责手机简历App的日常运营数据分析工作，提供工作建议岗位要求：1.具有手机制作简历APP相关经验或者对手机制作简历APP有特别看法的人优先考虑；2.熟练掌握行业数据分析，对数据敏感，具备良好的逻辑思维能力及数据分析能力，熟练使用excel；3.有良好的跨团队、部门沟通及资源整合能力，能够独立开展研究项目；4.较强的抗压能力，能在迅速变化的商业环境和动态的业务需求中，抓住重点并交出有质量的产出,10k-16k
1550,阿里巴巴-UC,1000-9999人,广州,本科,经验不限,基础研发部-高级数据分析师-BI,职位描述：1、基于对业务理解，搭建出可以准确反映业务运作健康状况的数据指标体系；2、商业嗅觉灵敏，善于沟通，能够深入了解业务、挖掘业务问题和痛点，通过数据分析为业务决策、产品方向、运营策略提供数据支持；3、沉淀分析思路与框架，提炼数据产品需求，提供对重点业务的数据分析&洞见，能够帮助业务给出优化建议和方案。职位要求：1.计算机、统计、数学、信息技术等专业本科及以上学历，有互联网相关数据分析工作经历；2.具备大数据的处理能力，掌握hive、SQL等相关数据提取工具，熟练操作excel、SAS/SPSS、PPT等工具；3.良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验；4.熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题，具备良好的商业敏感度和创新意识，快速识别商业问题和机会；5.具备良好的抗压能力、沟通能力和团队精神，有独立开展分析研究项目经验。,12k-24k
1551,阿里巴巴-UC,1000-9999人,广州,本科,3-5年,UC事业部-高级数据分析师,职位描述：1、基于对业务理解，搭建出可以准确反映业务运作健康状况的数据指标体系；2、商业嗅觉灵敏，善于沟通，能够深入了解业务、挖掘业务问题和痛点，通过数据分析为业务决策、产品方向、运营策略提供数据支持；3、沉淀分析思路与框架，提炼数据产品需求，提供对重点业务的数据分析&洞见，能够帮助业务给出优化建议和方案。任职要求：1.计算机、统计、数学、信息技术等专业本科及以上学历，有互联网相关数据分析工作经历；2.具备大数据的处理能力，掌握hive、SQL等相关数据提取工具，熟练操作excel、SAS/SPSS、PPT等工具；3.良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验；4.熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题，具备良好的商业敏感度和创新意识，快速识别商业问题和机会；5.具备良好的抗压能力、沟通能力和团队精神，有独立开展分析研究项目经验。,20k-40k
1552,奈瑞儿塑身美颜,1000-9999人,广州,本科,经验不限,数据分析专员,"工作职责：1.在规划和分析工作中使用大数据工具，并且利用大数据做出高阶商业分析和其他业务分析。								2.对于所管辖的范围及市场进行系统的网络规划，制定开发的优先顺及策略。								3.根据年度开发策略及市政规划发展等进行商圈更新、寻找出更多新的潜力商圈。								4.对所选点址的商圈进行调查研究及结果分析，准确评估营业额。								5.协调配合各部门，完成新址商圈范围的确定，商圈内各元素的统计，新店Capex模型的测算等。								6.新址开业后门店相关数据追踪及分析。								7.了解主要竞争对手的相关信息及发展方向等。								8.维护工作产生和接收到的各项数据。								9.销售数据、消费者数据、公司内主要经营数据的研究和分析。	 岗位要求：1.本科及以上学历，财务、计算机（机器学习、大数据运用、数据发掘、信息技术）、心理学（有统计学/数学课程）、市场研究、统计分析/应用数学背景。															2.具有良好的电脑知识及运用技巧（Excel/R/SAS/SPSS/Matlab/Eviews或其他统计软件使用经验、计算机编程经验者优先）。															3.清晰的逻辑判断能力,较强的综合项目协调能力。															4.至少有2年及以上地产、连锁行业公司担任网络规划/市场研究/数据分析研究等职位的经历（或在市场调研公司市调/数据分析部门有任职经历）、成绩优异应届毕生可适当放宽。															5.能适应短期出差",6k-8k
1553,兴业银行广州分行,10000人以上,广州,本科,经验不限,数据分析专员,工作职责：1. 根据业务需要，向总行提起数据申请；或在报表系统中提取相关数据，发送至各业务部门； 2. 每月报送各类监管报表、撰写监管报告。3. 对业务数据进行分析，为业务决策提供支持。4.对财务资源数据进行预算和管理。5. 拟写部门工作总结，并制作成PPT汇报。任职资格：1. 全日制本科及以上学历，金融经济、市场营销专业优先； 2. 精通OFFICE办公软件，尤其是excel和ppt； 3. 具备较好的逻辑分析能力和优秀的文笔；  4. 性格开朗乐观，具有较强的沟通协调和抗压能力。,5k-7k
1554,棒谷,1000-9999人,广州,本科,3-5年,数据分析师,岗位职责：1、构建业务数据分析体系，统计分析客户中心各种相关数据报表；2、提取和分析相关的数据信息，并通过报表反应给相应问题部门管理，为平台的业务提供决策支持；3、对整体站内和站外的数据发生变化做实时监控，并做出相应的对策；4、深入了解产品，通过数据分析，对产品进行评估，给出建议，推动产品的发展； 5、根据电商业务逻辑，优化管理相应的数据库相应表、结构、数据。岗位要求：1、本科及以上学历，计算机，统计，信息，数学等相关专业毕业；2、2年以上相关数据分析工作经验，具备运营规划和体系构建的经验，具有良好的结构化思考能力，逻辑思维清晰，有一定产品经验者优先；3、 熟悉基本的用户运营策略，擅长用户行为数据分析，对用户行为数据变化敏感，能够依据数据制定出合理的可实施的改善意见和方案；4、 掌握基本的统计方法，熟练使用SQL，熟悉至少一种数据库软件（如：ORACLE、MYSQL、SQL Server、SAS等），能够熟练的利用Excel进行数据整理和编辑、统计分析和高级分析；5、了解电商行业，具有相关行业的数据分析工作经验者优先。【薪资福利】上班时间：平均40小时制/周薪酬架构：基本工资+全勤奖+绩效奖金+年终奖+创新奖培训：入职培训+岗位技能培训+户外拓展培训+导师制五险一金：公司为正式员工购买养老、医疗、失业、工伤、和生育保险、住房公积金工作氛围：开放、轻松、年轻、扁平化管理广阔的晋升空间：公司认真对待每一位面试者与每一位工作人员，日渐完善的职位晋升制度，注重人才能力，将给您足够的发展空间假期：除了享受国家法定假期、婚假、丧假、女员工产假及男员工陪产假等有薪假期外，满一年服务期5天带薪年假（不超过7天），及每月带薪1天病假其它：交通方便-地铁上盖（番禺会江地铁C出口即是）；办公环境好-高层商务写字楼；入职体检；新人入职礼；老员工入职周年礼；缤纷多彩的***节礼物；中秋节礼/圣诞节礼物各种嗨嗨；每日24小时免费提供下午茶（奶茶、各式花茶、咖啡）；还有日常OTC常规备用药品、贴心雨具等供你随时取用哟~工作地址广州市番禺区石北工业路巨大创意产业园写字楼二期12栋西塔4楼/16楼/17楼/18楼,8k-15k
1555,广州迪爱化妆品公司,100-499人,广州,本科,1-3年,化妆品数据分析员,1.对化妆品爆品以及新品有足够的敏锐度2.分析爆品和新品的原因3.对大牌和小众品牌较熟悉,7k-10k
1556,合众投资,500-999人,广州,本科,3-5年,数据分析,工作职责：1、后台SQL server数据处理，风控及日常运营数据分析报表的整合和规范、优化；2、监控、跟踪风险指标的情况并定期提报公司关键指标数据；3、建立部门每日、周、月、季、年度数据分析报表；4、研究数据分析的方法，做到报表制作简单、方便、实用。任职要求：1、2年以上工作经验 ，具有一定的数据分析经验或者IT数据开发经验，具备一定的金融专业知识或者同行经验者优先；2、大专及以上学历，数学、统计学、计算机、金融学等相关专业，条件优越者可放宽至大专；3、具有一定的SQL Server、VBA、Office、metabase办公软件的操作水平；4、做事认真严谨、品性坚韧，有责任心，较强的风控意识，具有一定的沟通能力和信息搜集能力，能认真完成公司交给的各项任务,10k-18k
1557,欢聚时代,1000-9999人,广州,本科,3-5年,数据分析师,工作职责：1)及时响应业务团队数据统计分析需求，并提供适当的解读分析；2)结合业务特点，探索并建立分析主题，对数据进行深度分析和挖掘，输出可读性强的分析报告；3)监测并洞察市场环境的变化及竞争情况，及时发现潜在机会及警示潜在风险；4)制定数据分析的工作流程和规范，协助建立分析平台。职位要求：1)本科或以上学历，具备统计学相关知识，统计/数学/信息科学/金融/公共管理等专业优先；2)三年以上互联网产品数据分析经验，移动互联网产品分析经验优先，网络直播或游戏等娱乐行业优先；3)熟悉SQL、Hadoop等，有处理大规模数据的经验；熟练使用SPSS、R、Excel；4)较强的逻辑分析能力和独立思考能力，理解用户需求；充分的数据敏感度，能从海量数据表现中提炼核心结果，及时分析数据中隐含的变化和问题；能够把合理的思路成功应用于实践；5)具有较强的文字功底和报告撰写能力，表达能力强；6)工作态度认真负责，良好的沟团队协作意识和沟通协调能力，能承担工作压力。,20k-40k
1558,趣丸,100-499人,广州,本科,3-5年,数据分析师,职责描述：1.了解游戏平台与业务，围绕公司方向，搭建数据指标体系；2.通过用户洞察和行为分析，帮助业务线发现、分析问题，提出有针对性、可实施、可跟踪效果的解决方案； 3.为业务运营决策提供数据支持; 任职要求：1.大学本科及以上学历，数学、统计学、计算机等相关专业，3年以上相关工作经验；有全局分析经验、或社交产品、CRM相关岗位经历者优先；2.良好的数据采集、处理、分析能力，熟悉EXCEL、hive-sql、sas等技能和工具； 3.对数据有极强的敏感性，能够从数据中提炼分析结果，挖掘存在的问题，为业务做引导； 4.表达清晰严谨，优秀的逻辑思维能力，具备专研精神，学习能力强，能较快接受新事物；并与团队高效合作。,15k-30k
1559,丝一外贸企业,500-999人,广州,本科,1-3年,运营数据分析师,职责：负责公司运营项目的市场数据收集、整理和分析工作，同时需要负责产品项目的市场调研，通过市场数据分析，制定项目运营方案并对现有项目提供运营策略和解决方案。技能：1、有数据分析工作经验、跨境电商产品开发和选品经验优先。2、熟悉亚马逊、ebay、wish、walmart等平台第三方数据调研工具优先3、精通office软件，熟练掌握报表制作相关函数，掌握报表开发技能，能有效完成数据统计工作；4、对数据敏感，逻辑思维和分析能力强，工作细致零售行业，电商行业（应用数学、计算机科学、统计学等相关专业）广州市文峰荟互联网信息服务有限责任公司：【公司网址】http://www.wonfundgr.com/,6k-7k
1560,蓝宝诺德,0-20人,广州,本科,1年以内,数据分析师,"职位要求:1、1年以上Python经验，熟悉Django, Tornado, Flask框架中的至少一种，熟悉Web后端架构2、熟悉Linux平台环境的开发，熟练掌握Linux常用命令3、熟悉 mysql , influxdb , opentsdb 等常用关系型，时序型数据库4、有大型后台项目开发经验，熟悉指标暴露，统计，展示等常用观测性技术PS： 有云原生应用开发经验，微服务开发经验者优先考虑公司简介：我们是一家专注于区块链量化交易的科技公司，公司成员有来自蚂蚁金服，腾讯，平安集团等各大互联网公司，在区块链这圈子内有很多独特的渠道以及人脉关系，在这里您可以接触到其他人的无法触及的信息以及技能。",10k-20k
1561,名创优品,10000人以上,广州,本科,1-3年,数据分析师,业务主线：名创优品商品运营分析岗位职责：工作模块一1、主要负责当前补货系统逻辑梳理、新增需求提报2、负责补货软件与进销存系统数据搭建及监控；工作模块二负责对公司总仓、区域商品安全库存的计划数据与监控管理；2、负责设置、监控、分析区域商品库存数据运作情况；3、在区域商品安全库存数据范围内，进行区域商品订货补货工作；4、每月定期（25日后）或不定期对区域商品安全库存数据分析调整更新；5、根据市场需求做周、月区域库存优化分析工作，实时进行品类库存优化调整；6、负责区域滞销商品情况分析，组织，指导处理分店的滞销库存，减少分店商品的滞销。岗位要求：1.本科以上学历，统计学、运筹学等专业背景；2.大型零售行业商品调配从业经验；3.良好的团队配合力及协作力；4.优秀应届毕业生亦可；,6k-9k
1562,阿里巴巴-UC,1000-9999人,广州,本科,3-5年,UC事业部-资深数据分析专家（行业分析）,岗位职责： 1. 对业务部门进行行数据需求支持，挖掘分析主题，开展数据分析工作，构建相应体系与模型 2. 为管理层和业务部门提供商业策略分析和业务优化建议，通过数据持续改进产品与运营效果 3. 优化和完善所属方向的数据分析体系，包括KPI指标体系、报表体系、专题分析体系等等。任职要求： 1. 数学，统计学，计算机，运筹学等相关，本科以上学历，5年年以上工作经验； 2. 逻辑思维严密，有优秀的分析能力和报告展示能力，有优秀的商业嗅觉； 3. 丰富的大项目的经验，有丰富的跨团队、部门的项目资源整合能力力，能够独立开展研究项目 4. 有互联网经验者优先，尤其新闻推荐领域。,20k-30k
1563,优宿企业管理,100-499人,广州,大专,1-3年,数据分析专员,岗位职责：1、收集终端商品运营的相关数据，进行数据筛选及后续处理，进而制作周报、月报、季报、年报。2、 配合业务运营发展，定期对部门业务数据进行统计、分析，形成数据报告支持管理决策；3、负责跟踪分析日常产品运营数据，发现潜在问题，为产品改善提供定量依据；4、负责上级安排的业务执行，对结果进行数据分析优化以提升相关数据指标。岗位要求：1、大专及以上学历，财务、数据分析、统计学、计算机应用类、数学类等相关专业，2年以上同岗位工作经验，有零售行业数据分析经验者优先。2、 精通excel，有较好的文字、数据、图表呈现能力；3、对营销数据比较敏感，有较强的数据分析能力，熟知通过营销数据反馈的市场情况；4、责任心强、具有较强的学习能力及理解能力、团队合作能力强；,5k-8k
1564,虎牙直播,1000-9999人,广州,本科,3-5年,数据分析师（流量与技术方向）,"职位诱惑：大数据平台,千万级用户,工作氛围好,发展空间大职位描述：工作职责：1.基于公司内外流量利用\业务技术问题\用户精准投放 构建数据分析挖掘模型，并推动业务方、技术方落地模型进行调整优化；2.通过对数据的敏锐洞察以及定性和定量分析，迅速定位内部问题或发现机会,开展专项数据分析，并形成数据分析报告,为公司运营决策和技术优化提供数据支持；3.负责项目的方案制定、产品规划和项目推动，在指定的时间里高质量的完成项目。任职资格：1.本科及以上学历,2年以上数据分析相关工作经验,从事过直播技术开发工作或广告投放运营工作、DSP投放相关工作优先；2.熟练使用excel和PPT,至少熟练使用R、SQL、SPSS、MATLAB、PYTHON中的一种，熟悉常用数据统计和分析、建模方法；3.性格活泼，沟通能力强，良好团队合作精神和项目管理能力，具备快速学习能力；4.良好的逻辑思维能力、业务解读能力，能够独立完成的数据分析项目。",10k-20k
1565,微世纪新媒体有限公司,20-99人,广州,大专,1-3年,数据分析师,"岗位职责：1、负责公司公众号的日常各项数据的分析、统计；2、负责协助商务、运营团队对各公众号进行精准定位，分析与总结，不断改进工作方法，提高工作效率。 任职资格：1.大专以上学历，统计学、数学等相关专业或有相关数据分析基础或者经验者；懂得甘特图表分析优先2.具备学习能力、较强的团队意识、责任感和上进心3.数据处理及分析能力强，熟悉Excel、PPT、等相关软件4.会编程，Python,MYSQl为佳薪酬福利8小时工作制，周末双休，五险一金，年终奖，绩效奖，节假日福利，带薪假期，年假，年度调薪，不加班",5k-10k
1566,原力大数据,20-99人,广州,本科,1-3年,数据分析师,1、通过数据挖掘分析能力，针对通信、金融、政务、医疗、教育、电力等行业大数据或IT相关项目，根据客户需求编写分析报告、搭建模型、构建解决方案并指导IT实施；2、实施上述行业大数据项目投标技术方案的编写；3、配合项目总监完成项目实施过程中其他工作。任职要求：1、本科及以上学历，IT、统计学、数学、自动化、通信、市场营销、经济管理等相关专业；2、熟练使用SQL SERVER；3、有3年及以上， 1个及以上通信、金融、政务、医疗、教育、电力等行业咨询服务、数据分析、模型构建、服务支撑等大数据或IT相关项目工作经验；4、具备良好的逻辑思维能力和创新能力；5、有较强的执行力、人际沟通能力、解决问题能力和自学能力；6、能承受工作压力，适应偶尔出差。福利待遇：1、每周五天、每天7.5小时工作制；2、具有竞争力的薪酬待遇（基本薪资、绩效奖金、通讯补贴、年终双薪等），一年1~2次调薪机会；3、购买五险一金，按照国家规定给予年假、婚假、产假等有薪假期；4、每月举行员工生日会、每季度团建活动、每年度员工旅行；5、丰富奖励：项目奖金、发表文章奖励、个人资质提升奖励等。,8k-15k
1567,阿里集团,10000人以上,广州,本科,3-5年,数据分析专家,岗位描述：1.负责产品的数据分析工作，挖掘数据分析需求，制定并实施分析方案，并根据数据分析结果为产品的改进提出合理化建议； 2.结合分析结果及对业务需求的深入理解，设计业务指标体系及数据产品并驱动研发。岗位要求：1.大学本科或以上学历，数学、统计学、计算机等相关专业优先； 2.熟悉数据分析的相关理论，对数据分析有浓厚的兴趣； 3.熟练掌握SQL，对数据库的相关知识有所了解； 4.熟练使用R，SAS或其他统计分析工具辅助工作； 5.至少掌握一门脚本语言，如python/ruby； 6.良好的逻辑思维和批判性思维能力； 7.增长黑客热爱者优先考虑,25k-45k
1568,秒针系统,500-999人,广州,本科,1-3年,广告AE（数据分析）,工作职责：1、熟练使用秒针系统相关软件进行广告监测，提取相关数据并制作报告；2、分析数据并对数据进行多角度挖掘，为客户提供数据层面的策略指导；3、负责客户的定制化需求，提供相关数据支持，满足客户的潜在及延展性需要；4、与客户及相关执行人员的协调沟通，保证监测活动数据的准确及有效达成；岗位要求：1、对数字敏感，踏实，重视细节，逻辑能力与学习能力强；2、具有团队协作精神，协调能力强，能在压力下保证工作效率；3、善于从数据中发现规律，有一定的总结概括能力，具备较强的沟通与表达能力；4、熟练使用Excel、PowerPoint、Word等办公软件，对Flash软件有一定的了解；5、有广告公司数字营销工作背景优先，无相关经验但认为自己能够胜任这份工作的，同样欢迎。,5k-8k
1569,阔达科技,0-20人,广州,本科,经验不限,会员数据分析专员,"职位信息：1.会员消费数据收集整理，从会员构成、转化率、客单价、复购率、回购周期等数据，对会员画像进行多维度分析，从数据上分析用户的共性或专有特性，为会员精准化营销及运营服务提供数据依据；2.跟踪业务数据，监测发展态势，为异常提供分析，参与制定会员运营策略，提出改进方案，进行结果评价；3.根据数据分析结果，编写数据分析报告，给出建议；4.在日常业务分析过程中，主动发现数据研究主题，自主设定数据项目；5.搭建业务数据体系，对接跟进技术部的BI数据报表开发。任职资格1.知识：统计、数学、信息技术类专业, 一年以上数据分析工作经验, 有餐饮、零售行业数据分析经验者优先；2.经验：熟悉餐饮或零售的业务流程与业务特点，熟悉数据库基本原理，掌握SQL、Mysql等语言，能进行数据库查询，熟练操作excel、PPT；熟悉数据挖掘的基本原理，熟练操作SAS、SPSS clementine等数据分析、挖掘工具的优先；3.技能：具备良好的逻辑分析能力，独立思考能力，对数据与业务有足够的敏感性，及时发现和分析数据中隐含的变化和问题，给出建议；4.素质：诚信、敬业、有较强的目标导向思维、逻辑思维能力、执行力强，良好的沟通组织协调以及理解能力，具有团队协作精神。【福利待遇】√ 每天7.5小时，双休，法定节假日休假√ 行业领先薪酬，社保五险一金；√ 晋升机制，可持续职业发展空间；√ 舒适的办公环境，充满人性化、活力的办公氛围；√ 丰富的企业活动（聚会、聚餐、体育活动、旅游等）；√ 享有节日福利，悠闲下午茶，生日庆祝等人性化待遇；√ 不定期内部培训，以及外部技能、管理的培训机会。【交通便利】地铁2号线/8号线，昌岗站Ｅ出口，前行100米我们热爱我们的工作，并且享受工作的快乐！“你以为我在玩，其实我在工作；你以为我在工作，其实我在玩。” 欢迎加入我们这个团队！应聘邮箱：*****办公地址：广州市海珠区昌岗中路166号富盈国际大厦",6k-8k
1570,网易,10000人以上,广州,本科,3-5年,数据分析,职位描述：1、根据网易大神及网易CC及游戏产品业务运营的需要，进行数据的收集、筛选、建模、分析；2、根据各业务需要建立和完善运营KPI系统的规划设计；3、对用户特征数据、用户行为数据、付费数据进行数据挖掘、统计建模分析，并将分析结果上报；4、协同其他部门相关人员，分析并研究游戏数据的需求，为公司游戏运营决策提供数据支持。职位要求：1、掌握常用统计方法（相关分析、线性和逻辑回归、决策树等），有数学建模相关项目经验；2、杠杠的分析理论基础，精通1种以上统计分析工具软件，如SPSS、SAS；3、良好的沟通能力，能清晰、准确的在团队成员中传达自己的想法；4、敢于接受挑战，能够承受压力；5、有平台产品、社区产品、大型网络游戏或语音视频客户端（如网易CC）使用经历，熟悉一款或多款网易旗下的网游者优先；6、本科及以上学历，数学、统计学、计算机等相关专业。,12k-24k
1571,中科军信,500-999人,广州,学历不限,经验不限,数据分析,1：完成交付的数据分析、数据整合、数据处理的任务。2：有自信，能接受高强度的工作压力，积极向上，充满正能量。3：学习能力强，有责任心。4：熟练掌握oracle、sql server数据库。5：有ETL经验者优先。,4k-5k
1572,微品致远,100-499人,广州,本科,1-3年,数据分析师,职位描述：1、结合业务目标梳理KPI监测体系，建立数据模型进行数据监测与分析，为产品、推广及经营提供决策支持；2、研究APP用户行为与偏好，熟悉用户营销及移动端数据挖掘解决方案；3、配合运营人员对运营活动的关键指标进行分析并给予指导；4、搜集分析行业动态与趋势，关注大数据应用相关方向的前沿研究，推进数据与业务的良好结合。任职资格：1、重点院校全日制本科及以上学历，统计学、数学、计算机、信息管理类相关专业；2、2年以上APP数据分析与数据挖掘经验，互联网行业领域优先；3、熟练掌握SQL语言、SPSS或SAS统计软件，了解机器学习、算法设计、数据挖掘等数据分析技术应用；4、具有优秀的逻辑思维和沟通表达能力，具有团队协作精神，主动思考，善于发现问题，抗压力强，诚实、勤奋、严谨。,5k-8k
1573,禾多云力,20-99人,广州,本科,1-3年,数据分析,岗位职责：1、负责公司数据库平台方案的设计和优化；2、负责数据库应用系统的运营及监控，定期维护和异常处理；3、负责数据库日常备份和恢复，配合各部门进行数据处理、查询、统计和分析等。任职资格：1、计算机信息技术或数学、统计学相关专业，本科以上学历；2、精通关系型数据库原理，数据库核心参数的设置和调整、数据库环境安装及故障排除；3、精通主流数据库分析设计工具，熟悉MY SQL、MS SQL数据库；4、熟悉数据仓库，OLAP和数据挖掘；5、具有完善的逻辑思维导向、数据建模、分析和解决方案设计能力；6、有oracleDBA等相关证书及有过大数据处理经验优先考虑。,6k-10k
1574,饿了么,1000-9999人,广州,本科,3-5年,高级运营专员（数据分析）,1、负责华南大区内配送运营质量监控、核心原因分析；2、华南大区配送数据改善监控及效果跟踪；3、华南大区日常数据统计、总部推进项目跟踪；4、竞对情况调研、分析及报告；5、大区其他物流项目跟进。任职要求：1、全日制本科学历，3年以上工作经验；2、擅长物流数据分析，运营数据监控，熟悉使用数据分析工具；3、推进项目能力强、逻辑思维能力强，有物流、配送行业背景为佳；4、愿意在互联网O2O配送行业长期发展。,8k-12k
1575,广州小迈,100-499人,广州,本科,1-3年,数据分析师,职责：1、负责业务指标体系的建立，包含定义、埋点采集、验证2、负责用户标签生产及管理平台，提供可视化展示系统3、负责用户画像工作，提供用户数据分析方法4、常规报表和专题分析报告输出要求：1、逻辑清晰且闭环、具备一定数据sense，掌握常见的数据分析和处理方法论2、3年以上数据分析或相关工作经验；3、具备大数据处理能力，掌握SQL等相关数据提取工具，熟练操作Excel，PPT等工具4、有过推荐、精准营销或广告个性化投放等相关工作经验优先5、具有良好的沟通能力和团队合作能力，能够以目标为导向推进工作,10k-18k
1576,广东电信设计院,1000-9999人,广州,本科,1-3年,数据分析师,岗位职责1、参与大数据挖掘的需求分析；2、负责大数据分析模型的设计，以及算法的设计、实现、评估。岗位要求1、本科及以上学历，2年以上数据建模及数据分析经验；2、熟悉常用的数据挖掘算法、常用的分析模型；3、熟悉常用的数据库系统及结构化查询语言；4、有大数据分析经验、熟悉大数据处理技术（MapReduce、Spark等）、熟悉Python、Java开发者优先；5、有智慧环保、智慧政务、智慧城市数据分析经验者优先。,8k-10k
